Common Name,Specific Name,Binomial Name / Trinomial Name,Kingdom,Phylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Family,Subfamily,Genus,Species,Subspecies,Mammal,Arthropod,Reptile,Amphibian,Endangered,Extinct,Nocturnal,image_01,image_01_source,Description,Wikipedia Link,generic_name,photo_credit
Giraffe,South African Giraffe,Giraffa camelopardalis giraffa,Animalia,Chordata,Mammalia,-,-,-,Artiodactyla,-,Giraffidae,-,Giraffa,camelopardalis,giraffa,YES,NO,NO,NO,NO,NO,NO,giraffe_02, Luca Galuzzi - www.galuzzi.it,"The South African Giraffe is a subspecies of giraffe found in South Africa, Namibia, Botswana, Zimbabwe, Mozambique. It has rounded or blotched spots, some with star-like extensions on a light tan background, running down to the hooves.",http://en.wikipedia.org/wiki/South_African_giraffe,giraffe,Luca Galuzzi - www.galuzzi.it / CC-SA 2.5 / http://commons.wikimedia.org/wiki/File:Giraffe_Ithala_KZN_South_Africa_Luca_Galuzzi_2004.JPG
Giraffe,Reticulated Giraffe,Giraffa camelopardalis reticulata,Animalia,Chordata,Mammalia,-,-,-,Artiodactyla,-,Giraffidae,-,Giraffa,camelopardalis,reticulata,YES,NO,NO,NO,NO,NO,NO,giraffe_03,Raimond Spekking / CC-BY-SA-3.0 (via Wikimedia Commons),"The reticulated giraffe, also known as the Somali giraffe, is a subspecies of giraffe native to Somalia, southern Ethiopia, and northern Kenya. The reticulated giraffe is among the most well-known of the nine giraffe subspecies. Its coat consists of large, polygonal liver-colored spots outlined by a network of bright white lines.",http://en.wikipedia.org/wiki/Reticulated_giraffe,giraffe,Raimond Spekking / CC-BY-SA-3.0 (via Wikimedia Commons)
Dog,French Bulldog,Canis lupus familiaris,Animalia,Chordata,Mammalia,-,-,-,Carnivora,-,Canidae,-,Canis,lupus,familiaris,YES,NO,NO,NO,NO,NO,NO,dog_01,Clay Heaton,"The French Bulldog is a small breed of domestic dog, related to the English Bulldog and American Bulldog. The French Bulldog rarely barks and if he does it's often to draw attention, to point out that he needs something or just because he is not happy. This breed is patient and affectionate with its owners, especially with children, who are especially protected by the females.",http://en.wikipedia.org/wiki/French_bulldog,dog,Clay Heaton
Dog,Puli,Canis lupus familiaris,Animalia,Chordata,Mammalia,-,-,-,Carnivora,-,Canidae,-,Canis,lupus,familiaris,YES,NO,NO,NO,NO,NO,NO,dog_02,http://commons.wikimedia.org/wiki/File:Puli_kan.jpg,"The Puli is a small-medium breed of Hungarian herding and livestock guarding dog known for its long, corded coat. The tight curls of the coat, similar to dreadlocks, make it virtually waterproof. A similar looking, but much larger Hungarian dog breed is called Komondor.",http://en.wikipedia.org/wiki/Puli,dog,András Somogyi / CC BY-SA 3.0
Dog,Xoloitzcuintli,Canis lupus familiaris,Animalia,Chordata,Mammalia,-,-,-,Carnivora,-,Canidae,-,Canis,lupus,familiaris,YES,NO,NO,NO,NO,NO,NO,dog_03,http://commons.wikimedia.org/wiki/File:Behold_The_Xoloitzcuintle..jpg,"The Xoloitzcuintli is a hairless breed of dog, found in toy, miniature and standard sizes. It is also known as Mexican hairless dog in English speaking countries. The Xolo is native to Mexico. Archaeological evidence shows that the breed has existed in Mexico for more than 3,000 years. Hairlessness may have offered a survival advantage in tropical regions. ",http://en.wikipedia.org/wiki/Xoloitzcuintli,dog,Alfredo&Sara Aguirre / originally posted to Flickr as Behold: The Xoloitzcuintle. / CC BY-SA 2.0
House Cat,Siamese Cat,Felis silvestris catus,Animalia,Chordata,Mammalia,-,-,-,Carnivora,-,Felidae,-,Felis,catus,-,YES,NO,NO,NO,NO,NO,NO,cat_01,http://commons.wikimedia.org/wiki/File:Chat-siamois-dorothee-taverne.JPG,"The Siamese is one of the first distinctly recognized breeds of Oriental cat. The breed originated in Thailand (formerly known as Siam), where they are one of several native breeds and are called Wichian Mat (a name meaning ""moon diamond""). In the 20th century the Siamese cat became one of the most popular breeds in Europe and North America.",http://en.wikipedia.org/wiki/Siamese_(cat),house_cat,Dorothée Taverne / CC BY-SA 3.0
House Cat,Maine Coon Cat,Felis silvestris catus,Animalia,Chordata,Mammalia,-,-,-,Carnivora,-,Felidae,-,Felis,catus,-,YES,NO,NO,NO,NO,NO,NO,cat_02,http://commons.wikimedia.org/wiki/File:Maine_Coon_cat_Toronto_home.jpg,"The Maine Coon, also known as American Longhair, is a breed of domestic cat with a distinctive physical appearance and valuable hunting skills. It is one of the oldest natural breeds in North America, specifically native to the state of Maine, where it is the official state cat.",http://en.wikipedia.org/wiki/Maine_coon_cat,house_cat,Oleg Morgan / public domain
House Cat,Sphynx Cat,Felis silvestris catus,Animalia,Chordata,Mammalia,-,-,-,Carnivora,-,Felidae,-,Felis,catus,-,YES,NO,NO,NO,NO,NO,NO,cat_03,http://commons.wikimedia.org/wiki/File:Sphynx_-_ChickenCat_-_edit.jpg,"The Sphynx is a breed of cat known for its lack of a coat. Lack of coat makes the cat quite warm to the touch. Care should be taken to limit the Sphynx cat's exposure to outdoor sunlight at length, as they can develop sunburn and skin damage similar to that of humans.",http://en.wikipedia.org/wiki/Sphynx_(cat),house_cat,"Sphynx_-_ChickenCat.jpg: Steve Carlin from Colorado Springs, US / CC BY-SA 2.0"
Horse,Friesian Horse,Equus ferus caballus,Animalia,Chordata,Mammalia,Theria,Eutheria,-,Perissodactyla,-,Equidae,-,Equus,ferus,caballus,YES,NO,NO,NO,NO,NO,NO,horse_01,http://commons.wikimedia.org/wiki/File:Friese2.jpg,"The Friesian is a horse breed originating in Friesland, Netherlands. Although the breed's conformation resembles that of a light draft horse, Friesians are graceful and nimble for their size. During the Middle Ages, it is believed that the ancestors of Friesian horses were in great demand as war horses throughout continental Europe. ",http://en.wikipedia.org/wiki/Friesian_horse,horse,Original uploader was Andizo at de.wikipedia / GFDL / CC BY-SA 3.0
Horse,Pottoka Horse,Equus ferus caballus,Animalia,Chordata,Mammalia,Theria,Eutheria,-,Perissodactyla,-,Equidae,-,Equus,ferus,caballus,YES,NO,NO,NO,YES,NO,NO,horse_02,http://commons.wikimedia.org/wiki/File:Biandintz_eta_zaldiak_-_modified2.jpg,"The Pottok or Pottoka, is an endangered, semi-feral breed of pony native to the Pyrenees of the Basque Country in France and Spain. It is particularly well adapted to the harsh mountain areas it traditionally inhabits. Once common, it is endangered through habitat loss, mechanization and crossbreeding but efforts are increasingly made to safeguard the future of this breed. It is considered iconic by the Basque people.",http://en.wikipedia.org/wiki/Pottok,horse,"Mikel Ortega from Errenteria, Basque Country, Spain, with a retouche by Richard Bartz. / CC BY-SA 2.0"
Horse,Miniature Shetland Pony,Equus ferus caballus,Animalia,Chordata,Mammalia,Theria,Eutheria,-,Perissodactyla,-,Equidae,-,Equus,ferus,caballus,YES,NO,NO,NO,NO,NO,NO,horse_03,http://commons.wikimedia.org/wiki/File:With_practice_I_can_sleep_standing_up.jpg,"Shetland ponies were first used for pulling carts, carrying peat, coal and other items, and plowing farm land. Then, as the Industrial Revolution increased the need for coal in the mid-19th century, thousands of Shetland ponies traveled to mainland Britain to be pit ponies, working underground hauling coal, often for their entire (often short) lives.",http://en.wikipedia.org/wiki/Shetland_pony,horse,"This image, which was originally posted to Flickr.com, was uploaded to Commons using Flickr upload bot on 04:29, 3 November 2008 (UTC) by Kersti Nebelsiek / CC-BY 2.0"
Pangolin,Tree Pangolin,Manis tricuspis,Animalia,Chordata,Mammalia,-,-,-,Pholidota,-,Manidae,-,Manis,tricuspis,-,YES,NO,NO,NO,NO,NO,NO,pangolin_01,http://commons.wikimedia.org/wiki/File:Manis_tricuspis.jpg,"The tree pangolin is one of eight extant species of pangolin, or scaly anteaters, and is native to equatorial Africa. It is the most common of the African forest pangolins. The tree pangolin eats insects such as ants and termites from their nests, or the armies of insects moving on the trees. It relies on its thick skin for protection, and digs into burrows with its long, clawed forefeet.",http://en.wikipedia.org/wiki/Tree_pangolin,pangolin,Jopparn / CC BY-SA 3.0
Bird,European Bee-eater,Merops aplaster,Animalia,Chordata,Aves,-,-,-,Coraciiformes,-,Meropidae,-,Merops,apiaster,-,NO,NO,NO,NO,NO,NO,NO,bird_01,http://commons.wikimedia.org/wiki/File:Şahlûr-33.jpg,"The European Bee Eater is a bird which breeds in open country in warmer climates. Just as the name suggests, bee-eaters predominantly eat insects, especially bees, wasps and hornets which are caught in the air by sorties from an open perch. Before eating its meal, a European Bee-eater removes the sting by repeatedly hitting the insect on a hard surface.",http://en.wikipedia.org/wiki/European_Bee-eater,bird,Dûrzan cîrano / CC BY-SA 3.0
Anteater,Giant Anteater,Myrmecophaga tridactyla,Animalia,Chordata,Mammalia,-,-,-,Pilosa,-,Myrmecophagidae,-,Myrmecophaga,tridactyla,-,YES,NO,NO,NO,YES,NO,NO,anteater_01,"http://en.wikipedia.org/wiki/File:Myrmecophaga_tridactyla_-Detroit_Zoo,_Michigan,_USA-8a.jpg","The giant anteater, also known as the ant bear, is a large insectivorous mammal native to Central and South America. It is one of four living species of anteater and is related to sloths. During feeding, the tongue moves in and out at around 160 times per minute (nearly 3 times per second). When fully extended, the tongue can reach 45 cm (18 in); longer than the length of the skull.",http://en.wikipedia.org/wiki/Giant_anteater,anteater,"Ellen from Ann Arbor, MI, USA / CC-BY 2.0"
Anteater,Southern Tamandua,Tamandua tetradactyla,Animalia,Chordata,Mammalia,-,-,Xenarthra,Pilosa,Vermilingua,Myrmecophagidae,-,Tamandua,tetradactyla,-,YES,NO,NO,NO,NO,NO,NO,anteater_02,http://commons.wikimedia.org/wiki/File:Tamandua_tetradactyla.jpg,"The southern tamandua, also called a collared anteater, or lesser anteater, is a species of anteater from South America. It is a solitary animal, found in many habitats from mature to highly disturbed secondary forests and arid savannas. It feeds on ants, termites and bees. It has very strong foreclaws that can be used to break insect nests or to defend itself.",http://en.wikipedia.org/wiki/Southern_tamandua,anteater,Source: http://opencage.info/pics/large_10302.asp / CC BY-SA 2.5
Anteater,Northern Tamandua,Tamandua mexicana,Animalia,Chordata,Mammalia,-,-,Xenarthra,Pilosa,Vermilingua,Myrmecophagidae,-,Tamandua,mexicana,-,YES,NO,NO,NO,NO,NO,YES,anteater_03,http://en.wikipedia.org/wiki/File:Tamandúa.JPG,"The northern tamandua is a medium-sized anteater with a prehensile tail, small eyes and ears, and a long snout. The fur is pale yellow over most of the body, with a distinctive patch of black fur over the flanks, back, and shoulders, that somewhat resembles a vest in shape. The presence of this colouration pattern makes it possible to distinguish these species from its southern relative, which has a more uniform colour.",http://en.wikipedia.org/wiki/Northern_tamandua,anteater,José R. / CC-BY 3.0
Tapir,Malayan Tapir,Tapirus indicus,Animalia,Chordata,Mammalia,-,-,-,Perissodactyla,-,Tapiridae,-,Tapirus,indicus,-,YES,NO,NO,NO,YES,NO,YES,tapir_01,http://en.wikipedia.org/wiki/File:Malayan_Tapir.JPG,"Malayan tapirs have very poor eyesight, making them rely greatly on their excellent sense of smell and hearing to go about in their everyday lives. They have small, beady eyes with brown irises on either side of their faces. Their eyes are often covered in a blue haze, which is corneal cloudiness thought to be caused by repetitive exposure to light.",http://en.wikipedia.org/wiki/Malayan_tapir,tapir,A Malayan Tapir in London Zoo. Photographed by User:Bluemoose in May 2005. / CC BY-SA 3.0
Bird,Ostrich,Struthio camelus,Animalia,Chordata,Aves,-,-,Paleognathae,Struthioniformes,-,Struthionidae,-,Struthio,camelus,-,NO,NO,NO,NO,NO,NO,NO,bird_02,http://en.wikipedia.org/wiki/File:Ostrich_at_Cape_Peninsula.JPG,"The ostrich is the largest living species of bird and lays the largest eggs of any living bird. The ostrich's diet consists mainly of plant matter, though it also eats invertebrates. It lives in nomadic groups of 5 to 50 birds. When threatened, the ostrich will either hide itself by lying flat against the ground, or run away. If cornered, it can attack with a kick of its powerful legs.",http://en.wikipedia.org/wiki/Ostrich,bird,Thomas Bjørkan / CC BY-SA 3.0
Alligator,American Alligator,Alligator mississippiensis,Animalia,Chordata,Reptilia,-,-,-,Crocodylia,-,Alligatoridae,-,Alligator,mississippiensis,-,NO,NO,YES,NO,NO,NO,NO,alligator_01,http://en.wikipedia.org/wiki/File:AmericanAlligator.JPG,"American alligators are apex predators and consume fish, amphibians, reptiles, birds and mammals. Hatchlings feed mostly on invertebrates and small fish. Alligators also play important roles in wetland ecosystems through the creation of ""alligator holes"" which provide wetter or drier habitats for other organisms. ",http://en.wikipedia.org/wiki/Alligator,alligator,public domain
Alligator,Chinese Alligator,Alligator sinensis,Animalia,Chordata,Reptilia,-,-,-,Crocodylia,-,Alligatoridae,-,Alligator,sinensis,-,NO,NO,YES,NO,YES,NO,NO,alligator_02,http://en.wikipedia.org/wiki/File:ChineseAlligator.jpg,"While it originally ranged through much of China, this species' wild habitat has been reduced to little more than a few ponds containing 100 to 200 individuals. Its population reduction has been mostly due to conversion of its habitat to agricultural use. Unlike the American alligator, the Chinese alligator is fully armored; even the belly is armored.",http://en.wikipedia.org/wiki/Chinese_alligator,alligator,Greg Hume / CC BY-SA 3.0
Lizard,Komodo Dragon,Varanus komodoensis,Animalia,Chordata,Reptilia,-,-,-,Squamata,Lacertilia,Varanidae,-,Varanus,komodoensis,-,NO,NO,YES,NO,NO,NO,NO,komodo_01,http://commons.wikimedia.org/wiki/File:Varanus_komodoensis4.jpg,"The Komodo dragon is a large species of lizard found in Indonesia. A member of the monitor lizard family, it is the largest living species of lizard, growing to a maximum length of 3 metres (10 ft). Their unusual size has been attributed to island gigantism, since no other carnivorous animals fill the niche on the islands where they live.",http://en.wikipedia.org/wiki/Komodo_dragon,lizard,"Pictures from Disney's Animal Kingdom. Taken by myself (Raul654) in January, 2006. / CC BY-SA 3.0"
Lizard,Asian Water Monitor,Varanus salvator,Animalia,Chordata,Reptilia,-,-,-,Squamata,Lacertilia,Varanidae,-,Varanus,salvator,-,NO,NO,YES,NO,NO,NO,NO,monitor_01,http://commons.wikimedia.org/wiki/File:Malayan_water_monitor.jpg,"Water monitors can be defensive, using their tail, claws, and jaws when fighting. They are excellent swimmers, using the raised fin located on their tails to steer through water. Water monitors are carnivores, and have a wide range of foods. They are known to eat fish, frogs, rodents, birds, crabs, and snakes.",http://en.wikipedia.org/wiki/Water_monitor,lizard,Olexandr Topchylo / CC BY-SA 3.0
Insect,Leafcutter Ant,Atta colombica,Animalia,Arthropoda,Insecta,-,-,-,Hymenoptera,-,Formicidae,Myrmicinae,Atta,colombica,-,NO,YES,NO,NO,NO,NO,NO,ant_01,http://en.wikipedia.org/wiki/File:Blattschneiderameise_(Atta)_05.jpg,"Leafcutter ants are leaf-chewing ants. These species of tropical, fungus-growing ants are all endemic to South and Central America, Mexico and parts of the southern United States. Leafcutter ants cut and process fresh vegetation (leaves, flowers, and grasses) to serve as the nutritional substrate for their fungal cultivars.",http://en.wikipedia.org/wiki/Atta_colombica,insect,Norbert Potensky / CC BY-SA 3.0
Insect,Fire Ant,Solenopsis geminata,Animalia,Arthropoda,Insecta,-,-,-,Hymenoptera,-,Formicidae,Myrmicinae,Solenopsis,geminata,-,NO,YES,NO,NO,NO,NO,NO,ant_02,http://en.wikipedia.org/wiki/File:Fire_ants_01.jpg,"Fire ants are a variety of stinging ants with over 285 species worldwide. They have several common names, including ginger ants, tropical fire ants, and red ants. A queen is generally the largest individual in the colony. Her primary function is reproduction; she may live for 6 to 7 years and can produce up to 3,500 eggs in a single day.",http://en.wikipedia.org/wiki/Fire_ant,insect,Stephen Ausmus / public domain
Insect,Door-head Ant,Cephalotes varians,Animalia,Arthropoda,Insecta,-,-,-,Hymenoptera,-,Formicidae,Myrmicinae,Cephalotes,varians,-,NO,YES,NO,NO,NO,NO,NO,ant_03,April Nobile / AntWeb.org / http://commons.wikimedia.org/wiki/File:Cephalotes_varians_casent0103758_profile_1.jpg,"Cephalotes varians is a species of arboreal ant of the genus Cephalotes, characterized by an odd shaped head and the ability to ""parachute"" by steering their fall if they drop off of the tree they're on. Giving their name also as gliding ants.",http://en.wikipedia.org/wiki/Cephalotes_varians,insect,April Nobile / AntWeb.org / CC BY-SA 3.0
Rhinoceros,Black Rhinoceros,Diceros bicornis,Animalia,Chordata,Mammalia,-,Eutheria,-,Perissodactyla,-,Rhinocerotidae,-,Diceros,bicornis,-,YES,NO,NO,NO,YES,NO,NO,rhino_01,http://en.wikipedia.org/wiki/File:Doué_21_06_2010_14_Diceros_bicornis.jpg,"The black rhinoceros or hook-lipped rhinoceros is a species of rhinoceros, native to eastern and central Africa including Kenya, Tanzania, Cameroon, South Africa, Namibia, Zimbabwe, and Angola. Although the rhinoceros is referred to as black, its colors vary from brown to gray. The species overall is classified as critically endangered, and one subspecies, the western black rhinoceros, was declared extinct in 2011.",http://en.wikipedia.org/wiki/Black_rhinoceros,rhinoceros,Vassil / public domain
Rhinoceros,Indian Rhinoceros,Rhinoceros unicornis,Animalia,Chordata,Mammalia,-,Eutheria,-,Perissodactyla,-,Rhinocerotidae,-,Rhinoceros,unicornis,-,YES,NO,NO,NO,YES,NO,NO,rhino_02,http://en.wikipedia.org/wiki/File:One_horned_Rhino.jpg,"The Indian rhinoceros is also called greater one-horned rhinoceros and Asian one-horned rhinoceros. Among terrestrial land mammals native to Asia, the Indian rhinoceros is second in size only to the Asian elephant. The rhino's single horn is present in both males and females, but not on newborn young. The black horn is pure keratin, like human fingernails, and starts to show after about 6 years.",http://en.wikipedia.org/wiki/Indian_rhinoceros,rhinoceros,Krish Dulal / CC BY-SA 3.0
Rhinoceros,Sumatran Rhinoceros,Dicerorhinus sumatrensis,Animalia,Chordata,Mammalia,-,Eutheria,-,Perissodactyla,-,Rhinocerotidae,-,Dicerorhinus,sumatrensis,-,YES,NO,NO,NO,YES,NO,NO,rhino_03,http://en.wikipedia.org/wiki/File:Sumatran_Rhino_2.jpg,"The Sumatran rhinoceros once inhabited rainforests, swamps and cloud forests in southeast Asia. They are now critically endangered, with only six substantial populations in the wild: four on Sumatra, one on Borneo, and one in the Malay Peninsula.  It is the smallest rhinoceros, although it is still a large mammal.",http://en.wikipedia.org/wiki/Sumatran_rhinoceros,rhinoceros,"Photo Sumatran Rhinos: ""Emi"" and 14 month old son ""Harapan"" from Flickr / Charles W. Hardin / CC-BY 2.0"
Rhinoceros,White Rhinoceros,Ceratotherium simum,Animalia,Chordata,Mammalia,-,Eutheria,-,Perissodactyla,-,Rhinocerotidae,-,Ceratotherium,simum,-,YES,NO,NO,NO,NO,NO,NO,rhino_04,http://en.wikipedia.org/wiki/File:Waterberg_Nashorn2.jpg,"The white rhinoceros or square-lipped rhinoceros is one of the five species of rhinoceros that exist. It has a wide mouth used for grazing and is the most social of all rhino species. The white rhinoceros consists of two subspecies: the southern white rhinoceros and the much rarer northern white rhinoceros. The northern subspecies has very few remaining, with seven confirmed individuals left (including those in captivity).",http://en.wikipedia.org/wiki/White_rhinoceros,rhinoceros,Ikiwaner / GFDL v1.2
Bird,Secretary Bird,Sagittarius serpentarius,Animalia,Chordata,Aves,-,-,-,Accipitriformes,-,Sagittariidae,-,Sagittarius,serpentarius,-,NO,NO,NO,NO,YES,NO,NO,bird_03,http://en.wikipedia.org/wiki/File:Sagittarius_serpentarius_-flying-8a.jpg,"The Secretary Bird is a large, mostly terrestrial bird of prey. Endemic to Africa, it is usually found in the open grasslands and savannah of the sub-Sahara. It is the national emblem of Sudan and appears on the coat of arms of South Africa.",http://en.wikipedia.org/wiki/Secretary_bird,bird,Adam Woodford / CC-BY 2.0
Bird,Brown Pelican,Pelecanus occidentalis,Animalia,Chordata,Aves,-,-,-,Pelecaniformes,-,Pelecanidae,-,Pelecanus,occidentalis,-,NO,NO,NO,NO,NO,NO,NO,bird_04,http://upload.wikimedia.org/wikipedia/commons/4/45/Pelican_4940.jpg,The Brown Pelican is a small pelican found in the Americas. It is one of the best known and most prominent birds found in the coastal areas of the southern and western United States. It is one of only 3 pelican species found in the Western Hemisphere. The Brown Pelican is one of the only two pelican species which feeds by diving into the water.,http://en.wikipedia.org/wiki/Brown_Pelican,bird,Dori / CC BY-SA 3.0
Bird,Australian Pelican,Pelecanus conspicillatus,Animalia,Chordata,Aves,-,-,-,Pelecaniformes,-,Pelecanidae,-,Pelecanus,conspicillatus,-,NO,NO,NO,NO,NO,NO,NO,bird_05,http://commons.wikimedia.org/wiki/File:Pelecanus_conspicillatus_02.jpg,"The Australian Pelican is a large waterbird, widespread on the inland and coastal waters of Australia and New Guinea, also in Fiji, parts of Indonesia and as a vagrant to New Zealand. It is a predominantly white bird with black wings and a pink bill. It has been recorded as having the longest bill of any living bird. It mainly eats fish, but will also consume birds and scavenges for scraps.",http://en.wikipedia.org/wiki/Australian_Pelican,bird,Source: picture taken by Danielle Langlois | Licence: Released under GFDL and Creative Commons licenses by the photographer
